R,P,U
0.7846973926434343,0.08201968185664321,0.7748711733307878
0.7097329582654944,0.0899110424287378,0.7734534506148106
0.7185033726531289,0.08532933447619499,0.7804185242597944
0.786860678626102,0.07246127964360272,0.7785707745903425
0.7454481516607527,0.08540775174443338,0.7760021466161613
0.7307062258583412,0.09003055962947581,0.775563193614592
0.7827782087946994,0.07431875558472786,0.7821296661765724
0.7208111194368096,0.08700893952393725,0.7732893898518127
0.7368709446927983,0.08770021342161524,0.7716067139839126
0.7486284580525265,0.0840973527095603,0.7715327558404229
0.744324873618392,0.08456091771299772,0.7718087187297443
0.6954737463840093,0.09505312186346757,0.7738484235066772
0.7846177131924831,0.07066913187030764,0.7788594957509383
0.7869145270184672,0.08122216060448534,0.7739979810631922
0.7910720330737275,0.0767632795559571,0.7704640188304867
0.7353246932900503,0.08731916651404624,0.7718517469169932
0.7256729119578589,0.08426042821835959,0.7833919247113597
0.7543801512222957,0.08103089543694603,0.7720368011119979
0.764291113989148,0.08472103528977365,0.7745620878237027
0.738901353252356,0.08516096246108776,0.7720223659798786
0.7226049813366412,0.08793188715315764,0.7730499510373467
0.7277247032860703,0.08700111186584712,0.7725325251505726
0.7074950240094685,0.09606959956653804,0.7734218194904602
0.732008589503938,0.08686604928833616,0.7721900500793121
0.7295028566800336,0.08786978415586774,0.7721647914301066
0.7221896664567201,0.0828090138587299,0.7808812393981156
0.7398665853684527,0.08240892300493416,0.7734393876490349
0.7920106047736982,0.07808671187683797,0.7748767803406302
0.7297156972685888,0.08753065011950324,0.7726004044594835
0.729052323203063,0.08573895028456183,0.7727585952534985
0.713973792539948,0.09009748088589929,0.7730043240456665
0.7841386048119916,0.07498069366558474,0.7843663584267035
0.7584823189132437,0.08251026435360496,0.7724436939614283
0.7543639590407805,0.08202121826471984,0.7715990802680447
0.7498689786084193,0.08851755339697992,0.7753642204499968
0.7500596745442205,0.08051467353819788,0.7729471077935911
0.7544811175902117,0.0859960602778626,0.7721245218065125
0.762011721607989,0.08056444082530563,0.7837442229879956
0.7149931087510258,0.09544408349452091,0.7755920071680845
0.795207309443912,0.07387568487721309,0.7840979823201633
0.7948842569941589,0.07742737008917289,0.773354585120853
0.7338780779058633,0.08649185506359454,0.7721366138735773
0.7937714182005686,0.07751459135152365,0.7699594791056731
0.7578920498007905,0.07903345759793712,0.7831510039875125
0.7359219024398477,0.09005438020919661,0.7745178102342066
0.7436556709306389,0.0854195905789038,0.7722013339091223
0.7265233240139463,0.08888627333381369,0.7732737560287697
0.7689886853553011,0.07618169217709748,0.7790122102071428
0.7631167831241695,0.08235039843072682,0.7713989831509024
0.7412449575664306,0.08510659496641843,0.7732698717149096
0.7287027570097329,0.08128018700490827,0.7829938752742338
0.6956466566740712,0.09679965456131925,0.7741073683952789
0.7471836422994866,0.07584905487860773,0.7806767076727542
0.7359595220071441,0.08506510562484357,0.7723759508798288
0.7353227147575593,0.08668611704688055,0.7720622900957941
0.7858208761524267,0.07896096209863494,0.7739590504112567
0.7356671583161428,0.08878751143963708,0.7761406196050211
0.7592909266298421,0.08107098412269044,0.7714598043959142
0.7437740078829463,0.08817544674392765,0.7750506190756582
0.7280036204711748,0.08568939238552338,0.773378812172839
0.7727678206917257,0.07750681901558068,0.771264454670237
0.7142541358336835,0.09292456969399983,0.7728554866625157
0.7353140399624737,0.08871524737713322,0.7730885794450858
0.7714040481955909,0.08058993463927876,0.7706930397647962
0.7376304351947799,0.0880415472164781,0.7762617802766234
0.7133109117808994,0.0930529335835228,0.7724050220608862
0.7508078771753011,0.08173033830685468,0.7718858176791249
