w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.21,3.6,10,0.72754403991377,0.1288790783713549,0.8067926891355409,0.3589333646972378,0.4936685821901159,0.5534179729317258
0.18,3.55,10,0.7305984571943049,0.1221059155421319,0.8090211115014622,0.3578797526329064,0.48193654859679363,0.5507344683524988
0.17,3.6,10,0.7334785722072457,0.1183470190743902,0.8101555593395545,0.35776443319432183,0.46683123228808204,0.5483815456756141
0.21,3.55,10,0.7265939735001962,0.1304886206896878,0.8066938475966307,0.355903268825837,0.4955272638039923,0.5536777172191303
0.175,3.55,10,0.7314665670276798,0.1209885259372455,0.8096163802073686,0.3552505148344068,0.4759692853015205,0.5490347399725277
0.195,3.5,10,0.7273494492900912,0.1275935839982911,0.8077359248779471,0.35491887979101205,0.49405124339262474,0.553009378466196
0.235,4.5,8,0.733887126093818,0.1127910903053563,0.8133837868829041,0.3546823194606463,0.46584393136301017,0.550699531238189
0.2,3.5,10,0.7267250502249223,0.1290302091829366,0.8073406241534862,0.354652813352051,0.49582643760252737,0.5535706056043153
0.19,3.5,10,0.7280370816202191,0.1262430722948646,0.8082068443574599,0.3541348157653944,0.4911052501003551,0.5520118068872188
0.205,3.5,10,0.7261684820193257,0.1305573038481255,0.8070342202198538,0.3531652733723668,0.49635171810437795,0.5536212166067295
0.215,3.45,8,0.7308152799970208,0.1320494388788191,0.8055381978923831,0.352572660601481,0.4660766292705084,0.5442119329798013
0.185,3.5,10,0.7287832586262738,0.1249742229625044,0.808739975729596,0.35247944649273444,0.4870814580064901,0.5506519470204824
0.17,3.55,10,0.7323791603427413,0.1199387778522989,0.8102348070703715,0.35225716337253865,0.4692638655369449,0.5471754308578813
0.215,3.55,10,0.7261705199031276,0.1322066299207915,0.8066376368953075,0.3509994085136267,0.4932481591557267,0.5522889356081282
0.22,3.45,8,0.7305151187149238,0.1335098631668305,0.8052831461964954,0.3504901420602443,0.4649913385582638,0.5435293483275865
0.21,3.5,10,0.7256842431030629,0.1321791208970643,0.8068298298981209,0.350296164193352,0.4955620042350212,0.5530882595863004
0.18,3.5,10,0.729583209048701,0.1237824978973841,0.8093218159666358,0.35013502537805374,0.4820860157861595,0.5490023974132191
0.175,3.5,10,0.7304320874263103,0.1226632802324432,0.8099387987193565,0.34728299437636734,0.47623686584145997,0.5471333573654146
0.225,3.45,8,0.7302932522732707,0.1350655253662843,0.8051747419812088,0.34642512169769873,0.46224383054807305,0.542074383177112
0.215,3.5,10,0.7252767247484402,0.133899802295668,0.80674037676372,0.34590015651127104,0.4934059385932346,0.5519019008416877
0.2,3.45,10,0.7258348059456006,0.1308005303199307,0.8078062219858476,0.34531234108576064,0.49375042698904464,0.5516090516824762
0.195,3.45,10,0.7264424589331246,0.1293615683701499,0.8082332890592655,0.3451889039345463,0.49194165261041695,0.5508547136071517
0.22,3.55,10,0.7258285348788515,0.13402746716445,0.8067107160797724,0.3443918116736207,0.4895165710092662,0.5501826973524743
0.205,3.45,10,0.7252945108347141,0.1323300610225008,0.8074663925799878,0.3442674215070422,0.4943537781962632,0.5518591572474618
0.19,3.45,10,0.7271128728912548,0.1280088349465667,0.8087343221729155,0.34406683607590954,0.48900324645731424,0.5496711270797235
0.185,3.45,10,0.7278413602081139,0.1267378944678168,0.8092959231361664,0.34212329010766357,0.4850240745387564,0.5481328042969751
0.24,4.5,8,0.7336909633326012,0.1146167957899622,0.8140532513173805,0.3420050791613461,0.45760649793718755,0.5447884570462201
0.21,3.45,10,0.7248260716264688,0.1339543973888941,0.8072269135662044,0.3418958355775905,0.49368912247617674,0.5515310941018874
0.215,3.4,8,0.730271267442439,0.1339492863635367,0.8061009817840145,0.3404820455995382,0.46095370670231567,0.54058536122412
0.23,3.45,8,0.7301537611742981,0.136720402075053,0.8052255019715971,0.34022762064672213,0.45777575438747187,0.5397878876565192
0.21,3.4,8,0.7306388232760891,0.1325789584487658,0.806533448723942,0.34017982363327204,0.46019921922745227,0.5403487506551277
0.22,3.5,10,0.724950203259324,0.1357233713863515,0.8067785595501891,0.33985019077167244,0.48984534435667076,0.5499974295304311
0.18,3.45,10,0.7286231508934811,0.1255442240911156,0.8099045998068719,0.33953856659093956,0.48010539713093137,0.546312565398359
0.22,3.4,8,0.7299773312219098,0.13541083399839,0.8058007524313998,0.3390308650571505,0.4601659101224773,0.5401311681002157
0.215,3.45,10,0.7244338794656207,0.1356776652024383,0.8071007067747915,0.338054428061473,0.4917067943573516,0.55055376601304
0.225,3.4,8,0.7297612210926095,0.1369676827259035,0.8056455733776164,0.3356560087822846,0.45776389704210135,0.5389175099604235
0.2,3.4,10,0.7250083705518207,0.1326595160421964,0.8085651801504382,0.3330102374610639,0.4896473029054659,0.5485838433375374
0.22,3.45,10,0.7241222108055683,0.1375038714556439,0.8071004715840591,0.3326189097873901,0.4883695482964885,0.548860927490219
0.195,3.4,10,0.7255998741462499,0.1312182898730937,0.809027445686521,0.3324958721629795,0.48776481560451956,0.5476420067705905
0.205,3.4,10,0.7244837505705555,0.1341914026490483,0.8081884864901039,0.3324227454475856,0.4903724199326706,0.5490301270748277
0.225,3.5,10,0.7247088323700513,0.1376537253794802,0.8069568210744625,0.33204143622971943,0.4848547570115717,0.5473173841484305
0.235,3.45,8,0.7301005933565364,0.1384783408667764,0.8054476155679076,0.33176904840306937,0.451544055307197,0.5366214360523968
0.19,3.4,10,0.7262536653661117,0.129863400405253,0.8095620201686285,0.33104807998979474,0.4847984274444148,0.5462798702077372
0.21,3.4,10,0.7240305115926406,0.1358181698988555,0.8079104710150818,0.3305764359562179,0.48987913449534415,0.5489063747996938
0.23,3.4,8,0.7296270184285849,0.13862379207336,0.8056479627976317,0.3302086688100416,0.4536909141368553,0.5368835390273874
0.185,3.4,10,0.7269650578041802,0.1285904283036704,0.810155516336071,0.32884241015137927,0.48083385314770904,0.544571964765231
0.215,3.4,10,0.723653044406358,0.1375439266766936,0.8077440514791175,0.32732992385229437,0.4881186541223466,0.5481406433417019
0.245,4.5,8,0.7335982828562967,0.1165514719837023,0.8149500529695752,0.327207661928291,0.44729586419978323,0.5380072493114942
0.225,3.45,10,0.7238952197982998,0.1394368968706804,0.807238653879515,0.3254880057462248,0.48365213691071224,0.5463933314122398
0.22,3.35,8,0.7294963821494204,0.1374053126584377,0.8066115112472466,0.3242999377494496,0.4533610145212172,0.5356125464686337
0.235,3.4,8,0.7295786722604816,0.1403829924216867,0.8058201139473168,0.3225632349428356,0.4479053627965204,0.5339786320671523
0.22,3.4,10,0.7233556253863678,0.1393726629184434,0.8077019255680119,0.32256147622562015,0.4850540347143133,0.5466655288322253
